,Agency,Avg Days Till Completion
564,Cook County Sheriff,038 days 08:26:51
565,Cookeville Police Department,015 days 01:14:16
566,Coos County Sheriff,034 days 22:09:20
567,Copiah County Sheriff's Department,565 days 23:44:55
568,Copley Township Police,019 days 20:00:00
569,Coppell Police Department,068 days 06:36:53
570,Coral Gables Police Department,073 days 05:06:28
571,Coral Springs Police Department,077 days 17:26:50
572,Corfu Village Police Department,079 days 09:40:06
573,Corinth Police Department,485 days 23:25:18
574,Corning Police Department,052 days 05:30:46
575,Corona Police Department,09 days 13:59:06
576,Coronado Police Department,017 days 06:27:43
577,Corpus Christi Police Department,081 days 15:25:11
578,Corrales Police Department,017 days 10:24:48
579,Cortland County Sheriff's Office,04 days 00:56:23
580,Cortland Police Department,05 days 10:53:41
581,Corvallis Police Department,07 days 23:00:30
582,Costa Mesa Police Department,152 days 00:40:42
583,Cotati Police Department,021 days 20:26:06
584,Coventry Police Department,04 days 07:50:00
585,Covina Police Department,036 days 15:34:46
586,Covington Police Department,018 days 12:11:47
587,Coweta County Sheriff's Office,016 days 10:54:58
588,Coxsackie Village Police Department,188 days 23:11:57
589,Cranston Police Department,09 days 06:17:16
590,Crawford County Sheriff's Office,06 days 03:07:11
591,Crawford Police Department,087 days 20:00:00
